old_ex_id,pack,source,source_line,source_status,report_reason,br_refs,tc_refs,all_ac_refs,active_ac_refs,candidate_class,final_disposition,authority,manual_resolution,archived_source,active_br_refs,br_ac_refs,live_tc_ac_refs,br_tc_intersection,proposed_ac
EX-0001-0001,spec-0001,.qfai/spec/spec-0001/05_Examples.md,12,,has no single derived criterion,BR-0001-0001,TC-0001-0001,AC-0001-0001,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0001,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0002,spec-0001,.qfai/spec/spec-0001/05_Examples.md,13,,has no single derived criterion,BR-0001-0002,TC-0001-0002,AC-0001-0002,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0002,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0003,spec-0001,.qfai/spec/spec-0001/05_Examples.md,14,,has no single derived criterion,BR-0001-0003,TC-0001-0024,AC-0001-0001,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0003,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0004,spec-0001,.qfai/spec/spec-0001/05_Examples.md,15,,has no single derived criterion,BR-0001-0004,TC-0001-0003,AC-0001-0003,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0004,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0005,spec-0001,.qfai/spec/spec-0001/05_Examples.md,16,,has no single derived criterion,BR-0001-0005,TC-0001-0004,AC-0001-0003,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0005,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0006,spec-0001,.qfai/spec/spec-0001/05_Examples.md,17,,has no single derived criterion,BR-0001-0006,TC-0001-0005,AC-0001-0004,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0006,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0008,spec-0001,.qfai/spec/spec-0001/05_Examples.md,19,,has no single derived criterion,BR-0001-0010,TC-0001-0007,AC-0001-0006,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0010,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0009,spec-0001,.qfai/spec/spec-0001/05_Examples.md,20,,has no single derived criterion,BR-0001-0011,TC-0001-0008,AC-0001-0006,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0011,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0010,spec-0001,.qfai/spec/spec-0001/05_Examples.md,21,,has no single derived criterion,BR-0001-0012,TC-0001-0009,AC-0001-0006,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0012,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0011,spec-0001,.qfai/spec/spec-0001/05_Examples.md,22,,has no single derived criterion,BR-0001-0014,TC-0001-0010,AC-0001-0007,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0014,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0012,spec-0001,.qfai/spec/spec-0001/05_Examples.md,23,,has no single derived criterion,BR-0001-0016,TC-0001-0012,AC-0001-0008,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0016,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0016,spec-0001,.qfai/spec/spec-0001/05_Examples.md,27,,has no single derived criterion,BR-0001-0020,TC-0001-0016,AC-0001-0010,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0020,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
EX-0001-0018,spec-0001,.qfai/spec/spec-0001/05_Examples.md,29,,has no single derived criterion,BR-0001-0022,TC-0001-0018,AC-0001-0010,,only_retired_ac,retired_or_superseded,retired-rule-disposition.md#BR-0001-0022,Match the step-4 report to the approved BR/AC retirement and archive; do not migrate the old example.,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,,,,,
