"old_ex","example_source","example_line","old_br_refs","old_example_text","old_tc_to_ac"
"EX-0005-0004",".qfai/specs/spec-0005/05_Examples.md","24","BR-0005-0001","## EX-0005-0004: Report Consumes Validate Output - BR-Ref: BR-0005-0001 - Given validate output exists - When `qfai report` renders Markdown or JSON - Then report sections are derived from validate output rather than ad-hoc runtime probing","TC-0005-0001→AC-0005-0001;TC-0005-0002→AC-0005-0002;TC-0005-0003→AC-0005-0003;TC-0005-0004→AC-0005-0004;TC-0005-0005→AC-0005-0005;TC-0005-0006→AC-0005-0006;TC-0005-0007→AC-0005-0007;TC-0005-0008→AC-0005-0008"
"EX-0006-0010",".qfai/specs/spec-0006/05_Examples.md","15","BR-0006-0007","| EX-0006-0010 | BR-0006-0007 | `qfai doctor --profile prototyping` (node_modules/.bin/playwright が存在) | primary probe で playwright が検出される; 順序ログに primary→fallback の段が表示される |","TC-0006-0012→AC-0006-0010;TC-0006-0013→AC-0006-0010;TC-0006-0016→AC-0006-0012"
"EX-0009-0001",".qfai/specs/spec-0009/05_Examples.md","3","BR-0009-0001;BR-0009-0002","## EX-0009-0001: Typical Node.js Project Globs - BR-Ref: BR-0009-0001, BR-0009-0002 - Given a Node.js project with `packages/qfai/tests/**/*.test.ts` and `src/**/*.spec.ts` - When configure analyzes the project - Then proposed globs include `packages/qfai/tests/**/*.test.ts` and `src/**/*.spec.ts`","TC-0009-0001→AC-0009-0001;TC-0009-0002→AC-0009-0002;TC-0009-0005→AC-0009-0005;TC-0009-0008→AC-0009-0007"
"EX-0009-0003",".qfai/specs/spec-0009/05_Examples.md","17","BR-0009-0004","## EX-0009-0003: Steering Population from package.json - BR-Ref: BR-0009-0004 - Given `package.json` with `""vitest"": ""^3.0.0""` and `""node"": "">=22""` - When steering/tech.md is populated - Then it records `Test runner: vitest 3.x`, `Runtime: Node.js >= 22`","TC-0009-0004→AC-0009-0004;TC-0009-0007→AC-0009-0006"
"EX-0011-0001",".qfai/specs/spec-0011/05_Examples.md","3","BR-0011-0002;BR-0011-0003","## EX-0011-0001: Normal TDD Cycle - BR-Ref: BR-0011-0002, BR-0011-0003 - Given TDD-0001 with status `todo` - When implement runs: write failing test -> observe RED -> write minimal code -> observe GREEN -> refactor -> reviewers PASS - Then status transitions: todo -> red -> green -> refactor -> done - On the story tree: given an EX that no test annotates, when implement runs the same cycle, then the test it writes carries `QFAI:EX-NNNN-NNNN-NN`, each phase keeps its evidence, and no ledger status is written","TC-0011-0001→AC-0011-0001;TC-0011-0003→AC-0011-0003;TC-0011-0006→AC-0011-0006;TC-0011-0008→AC-0011-0008"
"EX-0013-0001",".qfai/specs/spec-0013/05_Examples.md","3","BR-0013-0001","## EX-0013-0001: Contract-First Then Slice - BR-Ref: BR-0013-0001 - Given a discussion pack with API and DB requirements - When SDD runs - Then contracts are created in `.qfai/contracts/(api|db)/` before `spec-XXXX/02_User-stories.md`","TC-0013-0001→AC-0013-0001;TC-0013-0002→AC-0013-0002;TC-0013-0005→AC-0013-0005;TC-0013-0007→AC-0013-0007;TC-0013-0008→AC-0013-0008;TC-0013-0021→AC-0013-0007"
"EX-0013-0002",".qfai/specs/spec-0013/05_Examples.md","10","BR-0013-0002","## EX-0013-0002: Upper-to-Lower Reference Detected - BR-Ref: BR-0013-0002 - Given `_policies/01_Objective.md` referencing `対象 spec/02_User-stories.md:US-0001-0001` - When reference direction is checked - Then error: upper-to-lower reference detected","TC-0013-0004→AC-0013-0004;TC-0013-0006→AC-0013-0006"
"EX-0013-0017",".qfai/specs/spec-0013/05_Examples.md","120","BR-0013-0017","## EX-0013-0017: Active pack resolved from `state.json#discussion.currentId` - BR-Ref: BR-0013-0017 - Given `.qfai/state.json` carries `discussion.currentId: ""discussion-20260527075558258""` and that dir exists - When a `/qfai-sdd` downstream skill resolves the active pack via the helper - Then it returns `discussion-20260527075558258` without scanning mtimes; if `currentId` were absent with 3 candidate dirs, the helper would raise an error naming the 3 dirs and `qfai discussion use <id>`","TC-0013-0028→AC-0013-0020;TC-0013-0029→AC-0013-0021"
"EX-0013-0018",".qfai/specs/spec-0013/05_Examples.md","127","BR-0013-0018","## EX-0013-0018: `surface_type: ui-bearing` auto-set; missing-frontmatter warns - BR-Ref: BR-0013-0018 - Given a target spec `<spec-id>` has a `.qfai/contracts/ui/<spec-id>-dashboard.yaml` companion - When `/qfai-sdd` runs then `qfai sdd lint` runs - Then `/qfai-sdd` writes `surface_type: ui-bearing` to that spec's `01_Spec.md` frontmatter; had the frontmatter been absent, `sdd lint` would emit `D-SURFACE-TYPE-MISSING` (warning); a spec with no UI companion emits no finding","TC-0013-0030→AC-0013-0022;TC-0013-0031→AC-0013-0023"
"EX-0014-0001",".qfai/specs/spec-0014/05_Examples.md","3","BR-0014-0001;BR-0014-0003","## EX-0014-0001 - BR-Ref: BR-0014-0001, BR-0014-0003 - Given verify runs on a UI-bearing repo - When validate returns an error - Then verify remains non-pass","TC-0014-0018→AC-0014-0001/AC-0014-0003;TC-0014-0019→AC-0014-0003"
