tc_id,step4_reason,step5_reason,old_ac,new_ac,old_ex,mapped_ex,disposition,proposed_ex,test_annotation_candidate,evidence,open_item,step8_unmapped_annotation_count,step8_unmapped_annotation_locations,actual_new_ex_id,actual_new_ac_id,source_oracle_status
TC-0003-0009,-,no convertible steps or expected result,AC-0003-0009,AC-0001-0028-01,-,-,Carry the init symlink setting scenario through the current AC,Add one EX under AC-0001-0028-01 using Git repository init and core.symlinks=true,packages/qfai/tests/cli/init.test.ts or tests/integration/initSpec0003.test.ts -> AC-0001-0028-01 and new EX,old TC title; current AC; init.test.ts core.symlinks cases 1455-1494,The old integration test checks source text only; choose a behavioral init case for the final annotation,0,,EX-0001-0028-02,AC-0001-0028-01,story_example_placed;behavioral_test_needed
TC-0005-0009,ambiguous EX-Ref,several EX-Ref values need one annotation target,AC-0005-0009,AC-0001-0067-01,EX-0005-0001;EX-0005-0002;EX-0005-0003,EX-0001-0067-01;EX-0001-0067-02;EX-0001-0067-03,Do not attach one test annotation to three EX or retain obsolete report claims without SDD review,Reconcile the three existing EX with current report output before adding or retiring any EX,packages/qfai/tests/cli/report.test.ts -> AC-0001-0067-01 after coverage is shown,old TC combines UIE rerun and legacy summary; current report.ts emits only iterations and UI contract coverage,The migrated AC and EX still assert report sections and rerun guidance absent from current report.ts,0,,EX-0001-0067-01;EX-0001-0067-02;EX-0001-0067-04,AC-0001-0067-01;AC-0001-0067-02,requires_sdd_and_implementation;old_tc_not_one_annotation
TC-0006-0004,-,no convertible steps or expected result,AC-0006-0004,AC-0003-0003-01,-,-,Carry missing testsDir path diagnosis through current AC,Add one EX under AC-0003-0003-01 with missing configured testsDir and warning,packages/qfai/tests/cli/doctor.test.ts -> AC-0003-0003-01 and new EX,old TC title; current AC; tests/integration/doctorSpec0006.test.ts source-text assertion,Existing cited test only scans doctor.ts for path text; behavioral warning test must be selected or added,0,,EX-0003-0003-01,AC-0003-0003-01,story_example_placed;behavioral_test_needed
TC-0006-0005,-,no convertible steps or expected result,AC-0006-0005,AC-0003-0004-01,-,-,Carry legacy layout warning only if the accepted doctor contract still states it,Add one EX under AC-0003-0004-01 showing doctor diagnostic for an old layout,packages/qfai/tests/cli/doctor.test.ts -> AC-0003-0004-01 and new EX,old TC title; current AC; tests/integration/doctorSpec0006.test.ts source-text assertion,Check severity and message against v2 no-old-layout contract before annotating,0,,EX-0003-0004-01,AC-0003-0004-01,story_example_placed;test_oracle_review_needed
TC-0012-0291,ambiguous EX-Ref,several EX-Ref values need one annotation target,AC-0012-0003,-,EX-0012-0002;EX-0012-0003,-,Retire obsolete capture script case under DEC-0200,-,Use current AC-0001-0147-01/02 coverage for post-convergence screenshot and HTML evidence instead,source TC says superseded by TC-0012-0377; DEC-0200 retires AC/EX/TC and points to AC-0012-0072/0073,Do not restore PNG/HTML-per-cycle or QFAI-UIE-001/002 as this TC,0,,,,retired_approved;no_annotation_successor
TC-0012-0330,ambiguous EX-Ref,several EX-Ref values need one annotation target,AC-0012-0021,-,EX-0012-0110;EX-0012-0117,-,Retire superseded old payload case,-,Use mapped successor EX-0001-0120-01 and its reviewer payload tests for the six Feel fields and ordinal axes,source TC says superseded by TC-0012-0364/0365; source EX0110/0117 are superseded,Confirm the new payload test covers the accepted per UI contract review location,0,,,,retired_approved;no_annotation_successor
TC-0012-0333,ambiguous EX-Ref,several EX-Ref values need one annotation target,AC-0012-0027,AC-0001-0108-03,EX-0012-0111;EX-0012-0119,EX-0001-0108-01,Keep continue/refine outcome separate from pivot and ordinal ordering,Add EX under AC-0001-0108-03 where two axes improve and result is continue,packages/qfai/tests/core/prototyping/evaluatorReview.test.ts -> AC-0001-0108-03 and new EX after runtime case exists,old TC specifies two-axis continue; EX0111 is pivot; EX0119 only ordinalIndex; current AC-0001-0108-03,No computePivotDirective or ordinalIndex implementation/test found in current src/test search,0,,EX-0001-0108-04,AC-0001-0108-03,story_example_placed;runtime_and_test_oracle_needed
TC-0012-0337,ambiguous EX-Ref,several EX-Ref values need one annotation target,AC-0012-0031,-,EX-0012-0098;EX-0012-0121,-,Retire fixed 130/410 skill line budget,-,No active test annotation for this retired obligation,DEC-0186 and DEC-0270 explicitly retire AC-0012-0031; EX-0012-0121; TC-0012-0337,Do not reinstate the fixed line ceiling,0,,,,retired_approved;no_annotation_successor
TC-0012-0339,ambiguous EX-Ref,several EX-Ref values need one annotation target,AC-0012-0020,-,EX-0012-0110;EX-0012-0116,-,Keep last accepted iteration outcome only after current AC ownership is decided,Consider EX under AC-0001-0136-01 for acceptedIterationIndex equal to the final iteration; old EX0110 is retired,packages/qfai/tests/cli/commands/prototypingIterate.test.ts acceptedIterationIndex cases -> new AC/EX after SDD,old AC0020 and EX0110 are superseded; EX0116 is unmapped; AC-0001-0136-01 currently names acceptedIterationIndex,Current AC-0001-0136-01 states field presence but not no-best-of-history equality; require SDD decision,0,,EX-0001-0109-01,AC-0001-0109-01,story_example_placed;test_oracle_review_needed
TC-0012-0344,ambiguous EX-Ref,several EX-Ref values need one annotation target,AC-0012-0020,-,EX-0012-0098;EX-0012-0115,-,Retire 15-cycle version and use the accepted 10-cycle successor,-,Use AC-0001-0127-01 10-cycle cases rather than old TC,source TC says superseded by TC-0012-0360; AC0020 superseded by AC0038; current AC-0001-0127-01 states cycle 9,Do not carry the old 0..14 bound or spec-based scope,0,,,,retired_approved;no_annotation_successor
