oldAC,occurrence,source,heading,shape,explicitRefs,chosenOldUS,decision,reason,status,oldACExcerpt,chosenUSSource,chosenUSExcerpt
"AC-0001-0001","1","spec-0001/03_Acceptance-Criteria.md:11","# AC-0001-0001","gherkin_textual","","","retired","Approved REMOVE row identified in source delta; do not migrate as active criterion.","approved_retirement","Scenario: v1421 layered spec の必須ファイル 9 件が定義されている Given specLayout.ts の REQUIRED_LAYERED_SPEC_FILES_V1421 を参照する When ファイル一覧を確認する Then 01_Spec.md, 02_User-stories.md, 03_Acceptance-Criteria.md, 04_Business-Rules.md, 05_Examples.md, 06_Test-Cases.md, 07_Decisions","",""
"AC-0001-0002","1","spec-0001/03_Acceptance-Criteria.md:19","# AC-0001-0002","gherkin_textual","","","retired","Approved REMOVE row identified in source delta; do not migrate as active criterion.","approved_retirement","Scenario: _policies の必須ファイル 10 件が定義されている Given specLayout.ts の REQUIRED_LAYERED_SHARED_FILES_V1421 を参照する When ファイル一覧を確認する Then 01_Objective.md から 10_delta.md までの 10 ファイルが定義されている","",""
"AC-0001-0003","1","spec-0001/03_Acceptance-Criteria.md:27","# AC-0001-0003","gherkin_textual","","","retired","Approved REMOVE row identified in source delta; do not migrate as active criterion.","approved_retirement","Scenario: レイアウト検出が v1421 を正しく判別する Given spec ディレクトリに 01_Spec.md, 02_User-stories.md, 05_Examples.md が存在する When collectSpecEntries() を実行する Then layout が ""layered""、layeredStyle が ""v1421"" と判定される","",""
"AC-0001-0004","1","spec-0001/03_Acceptance-Criteria.md:35","# AC-0001-0004","gherkin_textual","","","retired","Approved REMOVE row identified in source delta; do not migrate as active criterion.","approved_retirement","Scenario: ID フォーマットが spec 番号付き 4-4 桁形式に準拠する Given spec-0001 のドキュメントを参照する When ID パターンを確認する Then US/AC/BR/EX/TC の各 ID が spec-0001 namespace の 4-4 桁形式に従っている","",""
"AC-0001-0005","1","spec-0001/03_Acceptance-Criteria.md:43","# AC-0001-0005","gherkin_textual","","US-0001-0004","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0004: トレーサビリティ連鎖定義. Review source bodies before plan inclusion.","review_for_migration","Scenario: トレーサビリティ連鎖の 5 段が定義されている Given QFAI フレームワークの仕様を参照する When トレーサビリティ連鎖を確認する Then discussion → specs → tests → code → verification の 5 段が定義されている And 各段の成果物が明記されている","spec-0001/02_User-stories.md:44","- Parent: CAP-0001 - Goal: discussion → specs → tests → code → verification の 5 段連鎖を定義し、各段の成果物と段間のトレーサビリティエッジを明確にする - Non-goals: 各段の成果物フォーマット仕様（個別 spec で定義） - Notes: REQ-0004 準拠。統合元由来"
"AC-0001-0006","1","spec-0001/03_Acceptance-Criteria.md:52","# AC-0001-0006","gherkin_textual","","","retired","Approved REMOVE row identified in source delta; do not migrate as active criterion.","approved_retirement","Scenario: 必須トレーサビリティエッジが定義されている Given トレーサビリティ連鎖の定義が存在する When 必須エッジを確認する Then 01_Spec → CAP（Parent 参照）が必須である And acceptance criteria ごとに少なくとも 1 test case が必須である And business rule ごとに少なくとも 1 example が必須である And example ごとに少なくとも 1 test case が必須である","",""
"AC-0001-0007","1","spec-0001/03_Acceptance-Criteria.md:63","# AC-0001-0007","gherkin_textual","","","retired","Approved REMOVE row identified in source delta; do not migrate as active criterion.","approved_retirement","Scenario: upper-to-lower 参照が禁止されている Given _policies/ のファイルを参照する When 個別 spec ID を検索する Then US/AC/BR/EX/TC の ID および spec-XXXX 参照が含まれていない","",""
"AC-0001-0008","1","spec-0001/03_Acceptance-Criteria.md:71","# AC-0001-0008","gherkin_textual","","","retired","Approved REMOVE row identified in source delta; do not migrate as active criterion.","approved_retirement","Scenario: Escalation Hook の 4 トリガー条件が定義されている Given spec-XXXX/01_Spec.md を参照する When Escalation Hook セクションを確認する Then Ambiguous, Conflict, Missing, Trade-off の 4 条件が定義されている","",""
"AC-0001-0009","1","spec-0001/03_Acceptance-Criteria.md:79","# AC-0001-0009","gherkin_textual","","US-0001-0007","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0007: Drift Protocol 体系化. Review source bodies before plan inclusion.","review_for_migration","Scenario: Drift Protocol の手順が定義されている Given drift-protocol.md を参照する When ドリフト検出時の手順を確認する Then STOP → CR → 承認 → owner skill rerun → 再開 の手順が定義されている And on the story tree, a change request is a row opening `Change request:` that is appended to `decisions.md` at TO","spec-0001/02_User-stories.md:65","- Parent: CAP-0001 - Goal: Systematise the principle that protects the upstream SSOT, and the Change Request procedure on drift detection (STOP → CR → approval → owner skill rerun → resume). On the story tree, a change request is a row opening `Change request:"
"AC-0001-0010","1","spec-0001/03_Acceptance-Criteria.md:89","# AC-0001-0010","gherkin_textual","","US-0001-0008","proposed_semantic","AC heading/scenario '' describes the action in US-0001-0008: Skill オーケストレーション設計契約. Review source bodies before plan inclusion.","review_for_migration","Scenario: 9 Skill のカタログが定義されている Given Skill オーケストレーション仕様を参照する When Skill 一覧を確認する Then discussion, sdd, atdd, configure, prototyping, verify, tdd-red, tdd-green, tdd-refactor の 9 Skill が定義されている","spec-0001/02_User-stories.md:72","- Parent: CAP-0001 - Goal: Define skill orchestration against the installed package's skill inventory and resolved routing, including execution order and completion obligations. The inventory has no fixed count (`.qfai/contracts/cli/assistant-routing.md#owners"
